rep	aei_left	left_area	adi_left	H
1	0.423553	102.711432	1.985577	0.74475874
2	0.271523	114.4032482	2.152959	0.780188874
3	0.309316	122.775587	2.120193	0.790892857
4	0.459196	123.4405805	1.904934	0.787588231
5	0.329898	116.0992322	2.084189	0.812579938
6	0.463455	107.5857703	1.882008	0.759429031
7	0.238937	129.8200577	2.208235	0.811175587
8	0.403058	110.4024876	2.0013	0.784372193
9	0.258127	127.8718953	2.188846	0.831659728
10	0.395598	124.7755516	2.00896	0.795203439
11	0.424976	115.9756782	1.956623	0.683368681
12	0.3682	113.6176081	2.048	0.780596939
13	0.394192	116.0850962	2.01441	0.775980277
14	0.412397	112.3851618	1.995741	0.780155281
15	0.506106	116.8834171	1.840664	0.774259814
16	0.607558	119.3152858	1.576325	0.666109966
17	0.413289	114.1667525	2.00765	0.76991099
18	0.326803	118.5489012	2.100889	0.814761517
19	0.411889	120.2771789	1.980122	0.776851066
20	0.467279	114.0077063	1.887139	0.784125743
21	0.440362	115.2374083	1.897611	0.793607035
22	0.453957	118.0222195	1.864473	0.809266814
23	0.512025	108.5635793	1.75578	0.757514521
24	0.451781	119.4847062	1.904633	0.765214113
25	0.445659	113.3876271	1.944267	0.79084673
26	0.549566	108.0358131	1.733252	0.768896898
27	0.479784	119.7412393	1.89168	0.774800596
28	0.336439	122.3432513	2.094895	0.804677265
29	0.377626	117.8873363	2.035468	0.780953304
30	0.352387	116.8997113	2.061837	0.804950013
31	0.241005	127.3999349	2.192826	0.796739783
32	0.529003	111.8606496	1.790879	0.754492612
33	0.43084	109.3056307	1.949753	0.777078581
34	0.299917	122.3503969	2.131066	0.827633878
35	0.291039	118.6498654	2.127695	0.815064507
36	0.285034	123.1267706	2.133548	0.816819795
37	0.480395	121.0080327	1.888953	0.775210611
38	0.417877	119.5670028	1.954887	0.809995743
39	0.527706	109.0488264	1.755523	0.752436986
40	0.477747	118.573645	1.903458	0.797375876
41	0.301894	117.7029605	2.137065	0.799477507
42	0.52997	114.2530956	1.787904	0.747535838
43	0.409256	118.7775724	2.010519	0.783240163
44	0.38386	116.1484969	2.014573	0.806472229
45	0.372972	116.8650794	2.047249	0.779761638
46	0.276624	126.5776828	2.175388	0.817990797
47	0.464712	117.3556083	1.910048	0.763005386
48	0.432075	116.9162961	1.955899	0.767050312
49	0.407504	111.6278282	2.004846	0.756064365
50	0.342534	118.774664	2.059662	0.758026155
51	0.292311	126.1074696	2.163993	0.823529723
52	0.405351	118.893826	2.027125	0.786104046
53	0.320127	117.9932728	2.088804	0.776406174
54	0.403055	117.5801352	1.951273	0.790694122
55	0.360028	107.9218723	2.036394	0.775050107
